NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
EU TE LOUVAREI (de todo o coração);320;;LOUVOR ADORAÇÃO;
EU TE LOUVAREI (de todo o coração);320;;;
SEI TU SIGNORE;321;;;
ALELUIA VIVE O NOSSO REI;322;;ALELUIA;
ALELUIA VIVE O NOSSO REI;322;;LOUVOR;
ALELUIA VIVE O NOSSO REI;322;;;
CELEBRAI A CRISTO CELEBRAI;323;;;
DIO CI HAI DONATO MARIA;324;;MARIA;D
DIO CI HAI DONATO MARIA;324;;;
TU CHE ABITI AL RIPARO (SL 90);325;;SALMO;
TU CHE ABITI AL RIPARO (SL 90);325;;;
DIOS EUCARISTÍA;326;;COMUNHÃO;
DIOS EUCARISTÍA;326;;AÇÃO DE GRAÇAS;
DIOS EUCARISTÍA;326;;;
MANDAI O VOSSO ESPÍRITO    ;327;;ESPÍRITO SANTO;
MANDAI O VOSSO ESPÍRITO;327;;;
BENEDIRÒ (RnS);328;;FINAL;
BENEDIRÒ (RnS);328;;FESTA;
BENEDIRÒ (RnS);328;;AGRADECIMENTO;
BENEDIRÒ (RnS);328;RnS;;
SÍ SEÑOR;329;;FESTA;
SÍ SEÑOR;329;;REFRÕES;
SÍ SEÑOR;329;;;
 APOS TE RECONHECER;330;;OFERTÓRIO;
APÓS TE RECONHECER;330;;;
EN EL CIELO SE OYE;331;;;
GLÓRIAS AO PAI;332;;GLÓRIA;
GLÓRIAS AO PAI;332;;;
NOI TI SALUTIAMO MARIA;333;;;
ADORAMUS TE DOMINE;334;;ADORAÇÃO;
ADORAMUS TE DOMINE;334;;REFRÕES;
ADORAMUS TE DOMINE;334;;;
PEQUEÑO;335;;ADORAÇÃO;
PEQUEÑO;335;;LOUVOR ADORAÇÃO;
PEQUEÑO;335;;;
VENI CREATOR SPIRITUS    ;336;;ESPÍRITO SANTO;
VENI CREATOR SPIRITUS;336;;;
JÁ NÃO SOU EU QUE VIVO;337;;AÇÃO DE GRAÇAS;
JÁ NÃO SOU EU QUE VIVO;337;;;
TODA LA CASA DE ISRAEL;338;;AGRADECIMENTO;
TODA LA CASA DE ISRAEL;338;;ANIMAÇÃO;Em
TODA LA CASA DE ISRAEL;338;;;
UBI CARITAS;339;;REFRÕES;
UBI CARITAS;339;;;
TU MISERICORDIA;340;;;
DEUS ESTÁ AQUI NESTE MOMENTO;341;;AÇÃO DE GRAÇAS;
DEUS ESTÁ AQUI NESTE MOMENTO;341;;;
NO YA NO PUEDO SER;342;;MISSÃO;Am
NO YA NO PUEDO SER;342;;;
TUYA ES;343;;;
TUA PALAVRA E LÂMPADA;344;;PALAVRA;
TUA PALAVRA E LÂMPADA;344;;REFRÕES;
TUA PALAVRA E LÂMPADA;344;;;
ASE DA;345;;;
PADRE NOSTRO SIAMO QUI;346;;;
BOUTON BE'LE;347;;ANIMAÇÃO;
BOUTON BE'LE;347;;;
YO SOY TU VASO SEÑOR;348;;;
BENISSEZ LE SEIGNEUR;349;;ENTRADA;
BENISSEZ LE SEIGNEUR;349;;AÇÃO DE GRAÇAS;
BENISSEZ LE SEIGNEUR;349;;LOUVOR ADORAÇÃO;
